text,qid,location_name,country,continent,signal_type,ambiguous_name,other_referents,source
"Wydad Athletic Club Partners on Stadium Solar Installation

Wydad Athletic Club has announced a partnership with a regional energy firm to install solar panels across the roof of its stadium complex, in what the club describes as a first for professional sport in the region.

The installation, expected to begin next month, will cover approximately 3,000 square metres of roofing and generate enough electricity to power the stadium's floodlights, administrative offices, and broadcast facilities. ""This is about showing that football clubs can lead on sustainability, not just talk about it,"" a club official told reporters at the announcement. ""Our electricity bills have been climbing for years, and this gives us independence from the grid during peak demand.""

The project is partly motivated by the rising cost of grid electricity, which has been a persistent issue for large venues in the area. The old medina district surrounding the stadium already experiences periodic power fluctuations during evening peak hours, and the club hopes the solar installation will eliminate its reliance on backup diesel generators during night matches. The coastal climate provides excellent solar yield for most of the year, with cloud cover only significantly reducing output during the brief winter rainy period.

The energy firm involved has previously completed commercial solar installations along the coastal industrial corridor and at several large retail sites. A company representative said the stadium project presented unique engineering challenges due to the curved roof structure, requiring custom mounting brackets.

Local environmental groups have praised the initiative, with one calling it ""a visible symbol of what the private sector can achieve when it takes sustainability seriously."" The club expects the system to be fully operational before the start of the next season, with surplus energy potentially fed back into the local grid under a net metering arrangement currently being negotiated with the utility provider.",Q7903,Casablanca,Morocco,Africa,A,,,journalistic
"Vanderbilt Reports Record Graduate Applications Amid Campus Expansion

Vanderbilt University has reported a record number of graduate programme applications for the coming academic year, with demand driven by new facilities and an expanding research portfolio.

Applications to Vanderbilt's graduate school increased by 18 per cent compared to last year, with the strongest growth in data science, biomedical engineering, and music industry studies. ""The quality and volume of applications reflects the investments we have made in faculty and facilities over the past five years,"" a university spokesperson said.

The university's campus, set among tree-lined avenues in the arts district adjacent to the famous honky-tonk strip, has undergone significant expansion, with a new interdisciplinary research building opening this semester. The contrast between the neon-lit entertainment venues a few blocks away and the quiet academic courtyards gives the area a distinctive character that the university has increasingly leveraged in its recruitment materials.

Vanderbilt's music industry programme, which draws on the city's deep roots in country, blues, and gospel music, has seen particularly strong international interest. The programme offers students access to recording studios, publishing houses, and live performance venues that are concentrated within walking distance of campus in a density found in few other cities.

The university says it will expand its graduate housing capacity to accommodate the growing intake, with a new residential building planned on the southern edge of campus. Construction is expected to begin in the autumn and be completed within 18 months. Vanderbilt has also increased the number of fully funded doctoral positions by 12 per cent, funded through a combination of endowment returns and new corporate research partnerships.",Q23197,Nashville,United States,North America,A,,,journalistic
"Copa Airlines Announces New Direct Route From Canal City Hub

Copa Airlines has announced a new direct route connecting its canal city hub to a major regional destination, with three weekly flights beginning in March.

The route is expected to serve both the business travel market and the growing leisure tourism sector. ""Connectivity is everything for a city that has always depended on international trade and transit,"" a company spokesperson said at the announcement. ""This route fills a gap that has existed for too long, and we expect it to reach profitability within the first year.""

The airline's hub terminal, located near the Pacific approach to the canal, has undergone a $45 million expansion over the past two years to accommodate increased traffic. The expansion added 12 new gates, improved baggage handling capacity, and created a new transit lounge with views of the canal locks — a feature that has become part of the airline's marketing identity. Massive container ships inching through the locks are visible from the departure lounges, a sight that never fails to draw passengers to the windows regardless of how many times they have seen it.

The new route will be operated by Boeing 737-800 aircraft in a two-class configuration. Introductory fares have been set aggressively to build demand, with promotional pricing available for the first month of operations. The airline says corporate accounts have already been secured with several multinational firms operating in the free trade zone adjacent to the canal.

Bookings open next week through the airline's website and partner travel agencies. The company says it will assess demand over the initial six months and consider increasing frequency to daily service if load factors meet targets. The route also opens new connecting possibilities for passengers transiting through the hub to destinations across the continent.",Q3306,Panama City,Panama,North America,A,,,journalistic
"Diamond Platnumz Foundation Opens Free Music School Near Harbour

The Diamond Platnumz Foundation has opened a free music school offering classes in production, vocals, and instrument tuition to young people across the wider metropolitan area.

The school, located in a converted warehouse near the harbour, will accept its first cohort of 50 students next month. Classes will run in the evenings to accommodate students who work during the day. ""This city produces incredible talent, but most of it never gets the chance to develop properly because there is nowhere affordable to learn,"" a foundation coordinator said at the opening ceremony. ""We want to change that.""

The initiative has drawn support from WCB Wasafi, the record label founded by the artist, which will provide studio equipment, production software licences, and guest instructors from its roster. The school's location was chosen for its proximity to public transport links along the coastal road, making it accessible from outlying neighbourhoods where many aspiring musicians live. The harbour district itself has undergone rapid development in recent years, with the converted warehouses increasingly hosting creative businesses alongside the traditional shipping and logistics operations.

Local musicians have welcomed the project, noting that formal music education has historically been available only through expensive private institutions or informal apprenticeships. The school will offer four streams — vocal performance, music production, instrumental tuition, and music business — with students able to combine modules across streams.

The foundation says it plans to offer scholarships for students who show particular promise, with the long-term aim of creating a sustainable pipeline of professional musicians. A recording studio on the premises will allow students to produce demo material as part of their coursework. The first intake begins in February, with applications already exceeding available places.",Q1960,Dar es Salaam,Tanzania,Africa,A,,,journalistic
"Capcom Announces Largest Graduate Recruitment Drive in Five Years

Capcom has announced its largest graduate recruitment intake in five years, with over 100 positions available across its development studios near the castle district.

The openings span game design, programming, quality assurance, localisation, and sound engineering, reflecting the company's expanding portfolio of titles in simultaneous development. ""We are growing faster than at any point in the last decade, and we need people who are ready to contribute from day one,"" a human resources manager said at a university recruitment event on Thursday. ""The competition for engineering talent in this city is fierce, and we need to be proactive.""

The company's main campus, situated in the commercial area near the canal network that runs through the city centre, has recently undergone renovation to accommodate additional development teams. A new wing housing motion capture and performance studios was completed last quarter, adding capacity for two additional project teams. Local industry observers note that the expansion is part of a broader trend of gaming companies in the region competing aggressively for software engineering and creative graduates, with several rival studios also announcing expanded hiring plans.

The recruitment drive will run through the spring cherry blossom season, with assessment centres held at the campus and at partner universities across the metropolitan area. Successful candidates are expected to start in the autumn. The company has also confirmed it will offer a limited number of paid summer internships for students in their penultimate year of study, with interns working on live projects rather than isolated training exercises.

Starting salaries have been increased by approximately eight per cent compared to last year's intake, a move the company attributes to market conditions rather than recruitment difficulties. The positions are open to graduates from any discipline, though technical roles require demonstrated programming ability.",Q35765,Osaka,Japan,Asia,A,,,journalistic
"Air Niugini Announces Fleet Expansion to Serve Growing Domestic Demand

Air Niugini has announced the lease of two additional turboprop aircraft to serve growing domestic demand, with new routes to highland centres and island provinces expected to begin operating within six months.

The airline, which operates from the main terminal overlooking the harbour, says domestic passenger numbers have grown by approximately 15 per cent over the past two years as economic activity in the resource sector generates increased travel between the capital and regional centres. ""Connectivity is the biggest challenge facing this country, and every new route we open changes lives in the communities it reaches,"" an Air Niugini spokesperson said.

The harbour area, where fishing boats, cargo vessels, and passenger ferries share the waterfront with betel nut stalls and open-air markets, has seen rapid development in recent years as the surrounding population has grown through migration from rural highland communities. The tropical humidity that hangs over the city is a constant, and the terminal's air conditioning system struggles to cope during the hottest months.

Air Niugini currently operates domestic services to over 20 destinations, many of which are accessible only by air due to the country's mountainous terrain and limited road infrastructure. The new aircraft will add capacity on the busiest highland routes, where demand frequently exceeds available seats during peak travel periods around holidays and cultural festivals.

The fleet expansion is funded through an operating lease arrangement that Air Niugini says allows flexibility to adjust capacity without committing to aircraft purchase. The airline's management has indicated that international route expansion is also under consideration, though domestic connectivity remains the immediate priority.",Q36526,Port Moresby,Papua New Guinea,Oceania,A,,,journalistic
"Corinthians Partners With Health Authority on Stadium Vaccination Drive

Corinthians has partnered with the regional health authority to host a mass vaccination drive at its stadium, targeting communities in the surrounding sprawl that have below-average immunisation rates.

The drive, scheduled for this weekend, will offer routine childhood vaccinations, influenza jabs, and updated booster doses. ""A stadium that holds 50,000 people is the perfect infrastructure for reaching communities at scale,"" a health authority coordinator said. ""The challenge has always been getting people through the door, and a venue they already know and trust removes that barrier.""

The concrete expanse surrounding the stadium, located in a working-class district of the vast metropolitan area, will be converted into a walk-through vaccination centre with 30 stations operated by qualified nurses and pharmacists. The elevated highway that passes the ground will have temporary traffic management in place to handle the expected volume of vehicles, and additional bus services have been arranged from neighbouring districts.

The partnership is the first of its kind for the club, which has previously hosted blood donation drives but not full vaccination campaigns. The club's medical staff will be on hand to assist with logistics and crowd management, drawing on their experience of handling matchday crowds that regularly exceed 40,000.

Organisers expect to administer over 5,000 doses across the two-day event. The health authority says the initiative is specifically designed to reach populations that do not regularly visit health centres — working adults who cannot take time off, informal workers without fixed schedules, and elderly residents who find the journey to municipal clinics difficult.

If the pilot is successful, the health authority says it will explore partnerships with other large-capacity venues across the metropolitan area for future campaigns.",Q174,São Paulo,Brazil,South America,A,,,journalistic
"Bath Thermal Quarter Expansion Receives Planning Approval

Plans to expand the thermal bathing quarter in Bath have received planning approval, with a new outdoor pool and wellness centre expected to open by 2028.

The development will add a 25-metre outdoor pool fed by the natural hot springs, a suite of treatment rooms, a café, and landscaped gardens. ""The thermal waters are the reason this city exists, and making them more accessible to residents and visitors is long overdue,"" a council planning officer said. ""Demand has consistently outstripped capacity for years.""

Bath's thermal springs, which produce over one million litres of mineral-rich water daily at a constant 46 degrees, have drawn visitors for more than two millennia. The existing bathing facilities regularly reach capacity during winter weekends, when the combination of hot water and cold air produces the dramatic steam clouds that have become one of the city's visual signatures. Queues of over an hour are common during the Christmas and New Year period.

Conservation groups have broadly supported the project, recognising the economic importance of the thermal facilities, though some have raised concerns about the visual impact of the new buildings on the surrounding Georgian architecture. The developer has agreed to use locally quarried honey-coloured stone to ensure the new structures complement the existing streetscape, and the pool design sits partially below ground level to minimise its profile.

The planning approval includes conditions requiring the developer to commission an independent archaeological survey of the site before construction begins, given the likelihood of Roman-era remains beneath the surface. A hydrological study has confirmed that the new pool's demand can be met without reducing the flow to existing facilities.

Construction is expected to begin in the spring, with the project creating an estimated 150 jobs during the building phase and 40 permanent positions once operational.",Q22889,Bath,United Kingdom,Europe,B,Bath,"Bath (washing); Bath, Maine, USA; Bath, New York; Bath (unit of measurement); bath salts",journalistic
"Santa Cruz Construction Boom Prompts Regulatory Review

The construction boom in Santa Cruz has prompted city officials to announce a comprehensive review of building permits issued over the past two years, following mounting complaints from residents about noise, dust, and traffic disruption.

The review follows a period of rapid vertical development that has transformed the city's skyline, with residential tower blocks appearing across formerly low-rise neighbourhoods at a pace that has outstripped infrastructure planning. ""Every time I come back from a trip there is a new crane on the horizon,"" one residents' association representative said at a public meeting. ""Growth is welcome, but it needs to be managed before the city becomes unliveable.""

Santa Cruz has experienced some of the fastest urban expansion in the region, driven by agricultural export wealth — particularly soy, beef, and sunflower oil — and a young, rapidly growing population that has nearly doubled in two decades. The tropical heat and carnival culture give the city an energy distinct from the highland capitals to the west, attracting internal migrants seeking warmer weather and economic opportunity.

However, infrastructure has struggled to keep pace. Water pressure in several new high-rise districts drops to near zero during peak usage hours, traffic congestion on the ring roads has worsened significantly, and the power grid experiences brownouts during the hottest months when air conditioning demand peaks.

Officials say the permit review will take approximately three months, with interim restrictions on new applications in the most congested districts. Developers have expressed concern that construction delays will increase costs and potentially stall projects already underway. A developers' association spokesperson called for ""pragmatic regulation rather than blanket moratoriums.""

The review will also assess whether current zoning regulations are adequate for a city growing at this speed, with recommendations expected by mid-year.",Q170688,Santa Cruz de la Sierra,Bolivia,South America,B,Santa Cruz,"Santa Cruz, California, USA; Santa Cruz, Tenerife, Spain; Santa Cruz de Tenerife; Santa Cruz County; Santa Cruz (brand)",journalistic
"Victoria Market Renovation Draws Record Vendor Applications

The historic Victoria market is set for its most significant renovation in decades, with officials confirming that over 30 vendors have applied for the 10 new stall spaces opening this autumn.

The expansion will add permanent shade structures, improved drainage, and a dedicated cold storage area to the eastern wing, addressing long-standing complaints about conditions during the intense rainy season. ""The demand has been extraordinary — we expected maybe 15 applications,"" a project coordinator said. ""It shows how important this market is to the economic life of the community.""

The market, which has served as the commercial heart of the surrounding area for generations, draws buyers from across the island seeking fresh cassava, tropical fruit, breadfruit, and locally caught reef fish. Vendors arrive before dawn to secure the best positions, and by mid-morning the narrow aisles between stalls are barely passable. The renovation has been partly funded by a tourism development grant, reflecting the market's growing appeal to visitors arriving by ferry and small cruise ship from the outer islands.

Not all reactions have been positive. Several long-standing vendors have expressed concern that the renovation will increase rents and attract businesses catering primarily to tourists rather than local buyers. ""This market has always been for the people who live here, and we need to make sure it stays that way,"" one veteran fish vendor said.

The renovation will be carried out in phases to minimise disruption to daily trading. Construction on the shade structures begins next month, with the cold storage facility following in the second phase. The new stalls are expected to be operational before the peak tourist season in December. Officials say they will prioritise applications from vendors selling locally produced goods over those importing from the mainland.",Q3861,Victoria,Seychelles,Africa,B,Victoria,"Victoria, British Columbia, Canada; Queen Victoria; Victoria Beckham; Victoria (TV series); Victoria, Australia; Lake Victoria",journalistic
"Valencia Carnival Float Competition Sets Record Participation

The annual Valencia carnival float competition has set a new participation record, with 38 neighbourhood teams entering elaborately decorated floats this year compared to 24 in the previous edition.

The competition, which forms the centrepiece of the city's week-long carnival celebrations, saw floats parading through the central streets from mid-afternoon until the early hours of the following morning. ""The creativity this year was extraordinary — some of these teams have been building and painting since October, and the results show that dedication,"" a carnival jury coordinator said.

Valencia's carnival is one of the largest and most established in the region, with a tradition stretching back generations. The tropical heat persists well into the night during the carnival period, and the street food vendors who line the parade route — selling everything from arepas to churros to freshly squeezed sugarcane juice — report their busiest trading days of the entire year.

The surge in participation has been attributed partly to increased corporate sponsorship of neighbourhood teams and partly to a social media effect, with footage from last year's event generating millions of views and inspiring teams that had previously sat out the competition. Several new entries came from outlying suburban neighbourhoods that had never fielded a float before.

The growth has prompted discussions about extending the parade route to accommodate the larger number of floats without compressing viewing time. Crowd safety is also under review, as the streets along the existing route were packed well beyond comfortable capacity on the main night.

A post-carnival economic impact assessment is being conducted for the first time this year, commissioned by the tourism board to quantify the festival's contribution to the local economy and support applications for additional public funding.",Q58814,Valencia,Venezuela,South America,B,Valencia,"Valencia, Spain; Valencia CF (football); Valencia, Philippines; Valencia oranges; Valencia (given name)",journalistic
"Split Waterfront Restaurants Open Early Amid Growing Spring Tourism

The fish restaurants lining the Split waterfront have opened earlier than usual this year, with several establishments beginning service in March rather than the traditional April start.

Restaurateurs say mild spring temperatures, growing visitor numbers, and the desire to extend the profitable trading season have made the earlier opening both viable and necessary. ""In April we are already turning people away, and now they are coming in March asking why we are closed,"" a restaurant association coordinator said. ""The market has spoken.""

Split's waterfront, backed by the imposing ancient walls of the palace quarter that has formed the city's core for nearly two millennia, has become one of the most photographed dining locations in the region. The warm Adriatic breeze makes outdoor terrace dining pleasant well before the cruise ship crowds arrive in force from June onward, and the afternoon light on the palace stonework provides a backdrop that restaurants elsewhere can only envy.

The early opening has also been driven by investment in heated terrace areas, which several restaurants installed during the off-season. Gas-fired overhead heaters and windbreak screens now allow comfortable outdoor dining even on cooler evenings, extending the useful season by approximately six weeks at each end.

Local tourism officials have welcomed the trend, seeing it as evidence that the city is successfully transitioning from a summer-only destination to a year-round one. Hotel occupancy data for March shows a 22 per cent increase compared to the same month last year, driven primarily by visitors from northern regions seeking early spring warmth.

The restaurant association says it is working with the municipal authority on extended evening trading hours for the spring season, noting that sunset dining in March and April is particularly popular with visitors unaccustomed to the Mediterranean light.",Q1663,Split,Croatia,Europe,B,Split,Split (bowling); split (gymnastics); split (banana split); Split (film 2016); split (stock split),journalistic
